id,text,label,category,frame_id,pair_id,subject,token
D0168,aurat ghar aur office dono badhiya sambhal leti hai.,NOT,BENIGN_OVERLAP,BENIGN_OVERLAP:ghar,P84,aurat,
D0413,code review kal subah rakho.,NOT,BENIGN_NEUTRAL,BENIGN_NEUTRAL:9,,,
D0400,presentation kal tak ready ho jayegi.,NOT,BENIGN_NEUTRAL,BENIGN_NEUTRAL:8,,,
D0058,[FSLUR_13] jaise shabd ladki ke liye use mat karo.,NOT,COUNTER,COUNTER:3,P29,ladki,[FSLUR_13]
D0146,larki ghar aur office dono badhiya sambhal leti hai.,NOT,BENIGN_OVERLAP,BENIGN_OVERLAP:ghar,P73,larki,
D0402,presentation kal tak ready ho jayegi.,NOT,BENIGN_NEUTRAL,BENIGN_NEUTRAL:8,,,
D0163,woman ka kaam sirf ghar sambhalna hai.,MGY,IMPLICIT,IMPLICIT:ghar,P82,woman,
D0349,PR me comments resolve kar do.,NOT,BENIGN_NEUTRAL,BENIGN_NEUTRAL:2,,,
D0294,ladkiyon ne meeting bahut confidently lead ki.,NOT,BENIGN_OVERLAP,BENIGN_OVERLAP:leadership,P147,ladkiyon,
D0258,girl ne lambi highway drive solo complete ki.,NOT,BENIGN_OVERLAP,BENIGN_OVERLAP:driving,P129,girl,
D0338,weekend plans bana liye kya?,NOT,BENIGN_NEUTRAL,BENIGN_NEUTRAL:1,,,
D0207,"larki ka kaam office me nahi, kitchen me hai.",MGY,IMPLICIT,IMPLICIT:kaam,P104,larki,
D0017,larki ko [FSLUR_06] bol diya.,MGY,USE_SLUR,USE_SLUR:0,P9,larki,[FSLUR_06]
D0092,mahila ko [FSLUR_08] bolna kisi bhi haal me sahi nahi.,NOT,COUNTER,COUNTER:5,P46,mahila,[FSLUR_08]
D0117,aurat ko public post me [FSLUR_05] likha gaya.,MGY,USE_SLUR,USE_SLUR:6,P59,aurat,[FSLUR_05]
D0386,aaj ka match dekhoge?,NOT,BENIGN_NEUTRAL,BENIGN_NEUTRAL:6,,,
D0124,"please ladki ko [FSLUR_19] mat kaho, ye galat hai.",NOT,COUNTER,COUNTER:6,P62,ladki,[FSLUR_19]
D0405,presentation kal tak ready ho jayegi.,NOT,BENIGN_NEUTRAL,BENIGN_NEUTRAL:8,,,
D0143,group me woman ko [FSLUR_11] keh ke chhed rahe the.,MGY,USE_SLUR,USE_SLUR:7,P72,woman,[FSLUR_11]
D0300,us ladki ne meeting bahut confidently lead ki.,NOT,BENIGN_OVERLAP,BENIGN_OVERLAP:leadership,P150,us ladki,
D0269,woman dhang se gaadi chala hi nahi sakti.,MGY,IMPLICIT,IMPLICIT:driving,P135,woman,
D0151,us aurat ka kaam sirf ghar sambhalna hai.,MGY,IMPLICIT,IMPLICIT:ghar,P76,us aurat,
D0302,women raat ki shift karke safe ghar pahunch gayi.,NOT,BENIGN_OVERLAP,BENIGN_OVERLAP:bahar,P151,women,
D0399,presentation kal tak ready ho jayegi.,NOT,BENIGN_NEUTRAL,BENIGN_NEUTRAL:8,,,
D0134,ladkiyon ko [FSLUR_14] kehne walon ko block karo.,NOT,COUNTER,COUNTER:7,P67,ladkiyon,[FSLUR_14]
D0195,"woman ko shorts nahi pehनना chahiye, sanskaar khatam.",MGY,IMPLICIT,IMPLICIT:kapde,P98,woman,
