id,text,label,bucket
X0297,Kal WFH rahega kya?,NOT,NOT
X0311,Presentation kal tak ready ho jayegi.,NOT,NOT
X0284,Client call postpone h gaya.,NOT,NOT
X0195,Client call postpone ho gaya.,NOT,NOT
X0035,Meeting notes share kar dena.,NOT,NOT
X0457,ladki ko [FSLUR_05] bol diya.,MGY,STRONG
X0006,PR me comments resolve kar do.,NOT,NOT
X0041,Meeting notes share kar dena.,NOT,NOT
X0494,aurat ko [FSLUR_16] btate rehna बंद kro.,MGY,STRONG
X0385,Usne aurat ko [FSLUR_08] likh diya aur tag bhi kia.,MGY,STRONG
X0197,Coffee peene chalte h?,NOT,NOT
X0229,Code review kal subah rakho.,NOT,NOT
X0291,Please unit tests add kar do pehle merge.,NOT,NOT
X0245,Presentation kal tak ready h jayegi.,NOT,NOT
X0329,Weekend plans bana liye kya?,NOT,NOT
X0294,Weekend plans bana liye kya?,NOT,NOT
X0243,Weather aaj badhiya tha.,NOT,NOT
X0165,Laptop charge rehna chahiye meeting se pehle.,NOT,NOT
X0171,Kal WFH rahega kya?,NOT,NOT
X0168,Please unit tests add kar do pehle merge.,NOT,NOT
X0058,"Yaar agenda par focus karo, personal mat ho.",NOT,NOT
X0480,public post me ladki ko [FSLUR_18] likh diya.,MGY,STRONG
X0388,ladkiyon par [FSLUR_01] type comment aa gaya.,MGY,STRONG
X0398,ladkiyon ke kapdon par [CTX_05] jaisi baat mat kro.,MGY,CONTEXT
X0039,Please unit tests add kar do pehle merge.,NOT,NOT
X0221,Meeting notes share kar dena.,NOT,NOT
X0442,mahila ko [FSLUR_05] bol diya.,MGY,STRONG
X0227,Code review kal subah rakho.,NOT,NOT
X0425,women ko [FSLUR_18] btate rehna बंद kro.,MGY,STRONG
X0007,Weather aaj badhiya tha.,NOT,NOT
X0180,Meeting notes share kar dena.,NOT,NOT
X0235,Laptop charge rehna chahiye meeting se pehle.,NOT,NOT
X0461,ladkiyon ke kapdon par [CTX_11] jaisi baat mat kro.,MGY,CONTEXT
X0287,PR me comments resolve kar do.,NOT,NOT
X0418,Tum ladkiyon ko [FSLUR_10] kehke DM kyun kar rahe ho?,MGY,STRONG
X0144,Coffee peene chalte h?,NOT,NOT
